Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
116,6,4,YES,0,2,*,*,4,YES,D
117,6,3,NO,1,3,4,YES,3,YES,K
118,6,2,NO,1,5,5,YES,2,YES,K
119,6,3,NO,1,3,4,YES,3,YES,K
120,6,2,NO,1,4,5,YES,2,YES,K
121,6,2,NO,1,7,5,YES,2,YES,K
122,6,2,NO,1,5,5,YES,2,YES,K
123,6,2,NO,1,4,5,YES,2,YES,K
124,6,2,NO,1,5,5,YES,2,YES,K
125,6,2,NO,1,7,5,YES,2,YES,K
126,6,3,NO,1,5,4,YES,3,YES,K
127,6,2,NO,2,5,5,YES,2,YES,KEZ
128,6,2,NO,2,7,5,YES,2,YES,KEZ
129,6,2,NO,2,7,5,YES,2,YES,KEZ
130,6,3,NO,1,3,4,YES,3,YES,K
131,6,4,YES,0,3,*,*,4,YES,D
132,6,4,YES,0,5,*,*,4,YES,D
133,6,3,NO,1,3,4,YES,3,YES,K
134,6,3,NO,1,3,4,YES,3,YES,K
135,6,2,NO,1,4,5,YES,2,YES,K
136,6,2,NO,1,4,4,NO,2,YES,K
137,6,2,NO,1,4,5,YES,2,YES,K
138,6,2,NO,1,4,5,YES,2,YES,K
139,6,2,NO,1,4,5,YES,2,YES,K
140,6,3,NO,1,5,4,YES,3,YES,K
141,6,3,NO,1,5,4,YES,3,YES,K
142,6,3,NO,1,3,4,YES,3,YES,K
143,6,3,NO,1,5,4,YES,3,YES,K
144,6,3,NO,1,3,4,YES,3,YES,K
145,6,2,NO,2,5,5,YES,2,YES,KEZ
146,6,2,NO,2,8,5,YES,2,YES,KEZ
147,6,2,NO,2,5,5,YES,2,YES,KEZ
148,6,2,NO,2,4,5,YES,2,YES,KEZ
149,6,2,NO,2,6,5,YES,2,YES,KEZ
150,6,3,NO,1,3,4,YES,3,YES,K
151,6,3,NO,2,6,4,YES,3,YES,ZPE3
152,6,2,NO,2,4,4,NO,2,YES,KEZ
153,6,3,NO,2,5,4,YES,3,YES,ZPE3
154,6,3,NO,2,8,4,YES,3,YES,ZPE3
155,6,4,YES,0,3,*,*,4,YES,D
156,6,3,NO,1,3,4,YES,3,YES,K
157,6,3,NO,1,3,4,YES,3,YES,K
158,6,3,NO,1,5,4,NO,3,YES,K
159,6,3,NO,1,5,4,YES,3,YES,K
