Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
456,7,4,YES,0,6,*,*,4,YES,D
457,7,4,YES,0,4,*,*,4,YES,D
458,7,3,YES,0,5,*,*,3,YES,D
459,7,3,YES,0,5,*,*,3,YES,D
460,7,4,YES,0,4,*,*,4,YES,D
461,7,3,YES,0,5,*,*,3,YES,D
462,7,5,YES,0,3,*,*,5,YES,D
463,7,4,YES,0,6,*,*,4,YES,D
464,7,3,YES,0,5,*,*,3,YES,D
465,7,4,YES,0,6,*,*,4,YES,D
466,7,4,YES,0,5,*,*,4,YES,D
467,7,4,YES,0,7,*,*,4,YES,D
468,7,4,YES,0,6,*,*,4,YES,D
469,7,4,YES,0,5,*,*,4,YES,D
470,7,4,YES,0,7,*,*,4,YES,D
471,7,4,YES,0,6,*,*,4,YES,D
472,7,4,YES,0,10,*,*,4,YES,D
473,7,3,NO,1,4,5,YES,3,YES,K
474,7,3,NO,1,4,5,YES,3,YES,K
475,7,3,NO,1,4,4,NO,3,YES,K
476,7,2,NO,1,5,6,YES,2,YES,K
477,7,2,NO,1,5,5,NO,2,YES,K
478,7,2,NO,1,5,5,NO,2,YES,K
479,7,2,NO,1,5,5,NO,2,YES,K
480,7,2,NO,1,5,6,YES,2,YES,K
481,7,2,NO,1,5,6,YES,2,YES,K
482,7,2,NO,1,5,6,YES,2,YES,K
483,7,2,NO,1,5,6,YES,2,YES,K
484,7,2,NO,1,5,5,NO,2,YES,K
485,7,3,NO,1,6,5,YES,3,YES,K
486,7,3,NO,1,6,5,YES,3,YES,K
487,7,3,NO,1,4,5,YES,3,YES,K
488,7,2,NO,1,5,6,YES,2,YES,K
489,7,2,NO,1,5,6,YES,2,YES,K
490,7,3,NO,1,6,5,YES,3,YES,K
491,7,3,NO,1,4,5,YES,3,YES,K
492,7,2,NO,1,5,6,YES,2,YES,K
493,7,3,NO,1,6,4,NO,3,YES,K
494,7,2,NO,1,5,6,YES,2,YES,K
495,7,3,NO,1,6,5,YES,3,YES,K
496,7,4,YES,0,3,*,*,4,YES,D
497,7,2,NO,1,5,6,YES,2,YES,K
498,7,3,NO,1,6,5,YES,3,YES,K
499,7,3,NO,1,6,5,YES,3,YES,K
500,7,3,NO,1,6,5,YES,3,YES,K
501,7,3,NO,1,4,5,YES,3,YES,K
502,7,4,YES,0,5,*,*,4,YES,D
503,7,3,NO,1,4,5,YES,3,YES,K
504,7,2,NO,1,6,6,YES,2,YES,K
505,7,3,NO,1,4,4,NO,3,YES,K
506,7,2,NO,1,5,6,YES,2,YES,K
507,7,2,NO,1,9,6,YES,2,YES,K
508,7,2,NO,1,6,5,NO,2,YES,K
509,7,2,NO,1,5,5,NO,2,YES,K
510,7,3,NO,1,4,5,YES,3,YES,K
511,7,3,NO,1,4,5,YES,3,YES,K
512,7,2,NO,1,5,5,NO,2,YES,K
513,7,2,NO,1,7,5,NO,2,YES,K
514,7,3,NO,1,4,5,YES,3,YES,K
515,7,2,NO,1,5,6,YES,2,YES,K
516,7,2,NO,1,6,6,YES,2,YES,K
517,7,2,NO,1,6,6,YES,2,YES,K
518,7,2,NO,1,5,6,YES,2,YES,K
519,7,2,NO,1,6,6,YES,2,YES,K
520,7,2,NO,1,6,6,YES,2,YES,K
521,7,3,NO,1,4,5,YES,3,YES,K
522,7,2,NO,1,7,6,YES,2,YES,K
523,7,2,NO,1,7,6,YES,2,YES,K
524,7,2,NO,1,5,6,YES,2,YES,K
525,7,2,NO,1,9,6,YES,2,YES,K
526,7,2,NO,1,5,6,YES,2,YES,K
527,7,2,NO,1,6,6,YES,2,YES,K
528,7,2,NO,1,6,6,YES,2,YES,K
529,7,2,NO,1,6,6,YES,2,YES,K
530,7,2,NO,1,5,6,YES,2,YES,K
531,7,3,NO,1,7,5,YES,3,YES,K
532,7,2,NO,1,7,6,YES,2,YES,K
533,7,2,NO,1,5,5,NO,2,YES,K
534,7,3,NO,1,6,5,YES,3,YES,K
535,7,3,NO,1,6,5,YES,3,YES,K
536,7,3,NO,1,4,5,YES,3,YES,K
537,7,3,NO,1,6,5,YES,3,YES,K
538,7,3,NO,1,6,5,YES,3,YES,K
539,7,3,NO,1,7,5,YES,3,YES,K
540,7,2,NO,1,7,6,YES,2,YES,K
541,7,2,NO,1,5,6,YES,2,YES,K
542,7,3,NO,1,9,5,YES,3,YES,K
543,7,3,NO,1,7,5,YES,3,YES,K
544,7,3,NO,1,4,5,YES,3,YES,K
545,7,3,NO,1,4,5,YES,3,YES,K
546,7,3,NO,1,7,5,YES,3,YES,K
547,7,3,NO,1,6,5,YES,3,YES,K
548,7,2,NO,1,5,5,NO,2,YES,K
549,7,3,NO,1,6,5,YES,3,YES,K
550,7,3,NO,1,9,5,YES,3,YES,K
551,7,4,NO,1,3,4,YES,4,YES,K
552,7,3,NO,1,5,5,YES,3,YES,K
553,7,3,NO,1,6,5,YES,3,YES,K
554,7,3,NO,1,7,5,YES,3,YES,K
555,7,2,NO,2,7,6,YES,2,YES,KEZ
556,7,2,NO,2,6,6,YES,2,YES,KEZ
557,7,4,NO,1,3,4,YES,4,YES,K
558,7,2,NO,2,9,6,YES,2,YES,KEZ
559,7,2,NO,2,6,6,YES,2,YES,KEZ
560,7,2,NO,2,7,6,YES,2,YES,KEZ
561,7,2,NO,2,7,6,YES,2,YES,KEZ
562,7,3,NO,1,5,5,YES,3,YES,K
563,7,2,NO,2,5,6,YES,2,YES,KEZ
564,7,2,NO,2,7,6,YES,2,YES,KEZ
565,7,2,NO,2,9,6,YES,2,YES,KEZ
566,7,2,NO,2,7,6,YES,2,YES,KEZ
567,7,3,NO,1,4,5,YES,3,YES,K
568,7,3,NO,1,6,5,YES,3,YES,K
569,7,3,NO,1,5,5,YES,3,YES,K
570,7,3,NO,1,7,5,YES,3,YES,K
571,7,2,NO,2,9,6,YES,2,YES,KEZ
572,7,3,NO,2,7,5,YES,3,YES,ZPE3
573,7,3,NO,2,9,5,YES,3,YES,ZPE3
574,7,2,NO,2,7,5,NO,2,YES,KEZ
575,7,2,NO,2,5,5,NO,2,YES,KEZ
576,7,3,NO,1,4,5,YES,3,YES,K
577,7,3,NO,2,6,5,YES,3,YES,ZPE3
578,7,3,NO,2,9,5,YES,3,YES,ZPE3
579,7,2,NO,2,7,5,NO,2,YES,KEZ
580,7,3,NO,2,7,5,YES,3,YES,ZPE3
581,7,3,NO,2,9,5,YES,3,YES,ZPE3
582,7,5,YES,0,2,*,*,5,YES,D
583,7,6,YES,0,3,*,*,6,YES,D
584,7,4,YES,0,4,*,*,4,YES,D
585,7,4,YES,0,4,*,*,4,YES,D
586,7,4,YES,0,4,*,*,4,YES,D
587,7,4,YES,0,4,*,*,4,YES,D
588,7,4,YES,0,4,*,*,4,YES,D
589,7,4,YES,0,4,*,*,4,YES,D
590,7,4,YES,0,6,*,*,4,YES,D
591,7,4,YES,0,5,*,*,4,YES,D
592,7,4,YES,0,5,*,*,4,YES,D
593,7,4,YES,0,7,*,*,4,YES,D
594,7,4,YES,0,6,*,*,4,YES,D
595,7,4,YES,0,6,*,*,4,YES,D
596,7,4,YES,0,7,*,*,4,YES,D
597,7,5,YES,0,5,*,*,5,YES,D
598,7,3,NO,1,4,5,YES,3,YES,K
599,7,3,NO,1,4,4,NO,3,YES,K
600,7,3,NO,1,4,5,YES,3,YES,K
601,7,3,NO,1,4,5,YES,3,YES,K
602,7,3,NO,1,4,4,NO,3,YES,K
603,7,3,NO,1,6,5,NO,3,YES,K
604,7,3,NO,1,6,5,NO,3,YES,K
605,7,3,NO,1,4,5,YES,3,YES,K
606,7,3,NO,1,6,5,YES,3,YES,K
607,7,3,NO,1,6,5,YES,3,YES,K
608,7,3,NO,1,4,5,YES,3,YES,K
609,7,3,NO,1,6,5,YES,3,YES,K
610,7,3,NO,1,4,5,YES,3,YES,K
611,7,4,YES,0,3,*,*,4,YES,D
612,7,2,NO,1,5,6,YES,2,YES,K
613,7,2,NO,1,5,5,NO,2,YES,K
614,7,2,NO,1,5,6,YES,2,YES,K
615,7,2,NO,1,5,6,YES,2,YES,K
616,7,2,NO,1,5,6,YES,2,YES,K
617,7,3,NO,1,4,5,NO,3,YES,K
618,7,2,NO,1,5,5,NO,2,YES,K
619,7,4,NO,1,3,4,YES,4,YES,K
620,7,3,NO,1,6,5,YES,3,YES,K
621,7,2,NO,1,5,6,YES,2,YES,K
622,7,2,NO,1,5,5,NO,2,YES,K
623,7,2,NO,1,5,6,YES,2,YES,K
624,7,3,NO,1,6,5,YES,3,YES,K
625,7,3,NO,1,4,5,YES,3,YES,K
626,7,3,NO,1,5,5,YES,3,YES,K
627,7,2,NO,1,5,6,YES,2,YES,K
628,7,2,NO,1,5,6,YES,2,YES,K
629,7,3,NO,1,6,5,YES,3,YES,K
630,7,4,NO,1,3,4,YES,4,YES,K
631,7,3,NO,1,7,5,YES,3,YES,K
632,7,2,NO,1,5,5,NO,2,YES,K
633,7,3,NO,1,6,5,YES,3,YES,K
634,7,3,NO,1,6,5,YES,3,YES,K
635,7,3,NO,1,6,5,YES,3,YES,K
636,7,3,NO,1,4,5,YES,3,YES,K
637,7,3,NO,1,5,5,YES,3,YES,K
638,7,3,NO,1,4,5,NO,3,YES,K
639,7,3,NO,1,7,5,YES,3,YES,K
640,7,2,NO,1,5,6,YES,2,YES,K
641,7,3,NO,1,7,5,NO,3,YES,K
642,7,3,NO,1,6,5,NO,3,YES,K
643,7,3,NO,1,5,5,NO,3,YES,K
644,7,4,NO,1,3,4,YES,4,YES,K
645,7,3,NO,1,6,5,NO,3,YES,K
646,7,2,NO,1,5,5,NO,2,YES,K
647,7,3,NO,1,6,5,YES,3,YES,K
648,7,3,NO,1,6,5,YES,3,YES,K
649,7,3,NO,1,6,5,YES,3,YES,K
650,7,3,NO,1,6,5,YES,3,YES,K
651,7,3,NO,1,7,5,YES,3,YES,K
652,7,3,NO,1,5,5,YES,3,YES,K
653,7,3,NO,1,5,5,YES,3,YES,K
654,7,3,NO,1,6,5,YES,3,YES,K
655,7,3,NO,1,7,5,YES,3,YES,K
656,7,3,NO,1,7,5,YES,3,YES,K
657,7,3,NO,1,5,5,YES,3,YES,K
658,7,3,NO,1,5,5,YES,3,YES,K
659,7,3,NO,1,4,5,YES,3,YES,K
660,7,3,NO,1,6,5,YES,3,YES,K
661,7,3,NO,1,6,5,YES,3,YES,K
662,7,3,NO,1,7,5,YES,3,YES,K
663,7,3,NO,1,6,5,YES,3,YES,K
664,7,3,NO,1,7,5,YES,3,YES,K
665,7,3,NO,1,5,5,YES,3,YES,K
666,7,3,NO,1,6,5,NO,3,YES,K
667,7,3,NO,1,10,5,NO,3,YES,K
668,7,3,NO,1,4,5,YES,3,YES,K
669,7,2,NO,2,6,6,YES,2,YES,KEZ
670,7,2,NO,2,10,6,YES,2,YES,KEZ
671,7,3,NO,1,4,4,NO,3,YES,K
672,7,3,NO,1,4,5,YES,3,YES,K
673,7,2,NO,2,6,6,YES,2,YES,KEZ
674,7,2,NO,2,6,6,YES,2,YES,KEZ
675,7,3,NO,1,4,5,YES,3,YES,K
676,7,2,NO,2,5,6,YES,2,YES,KEZ
677,7,2,NO,2,7,6,YES,2,YES,KEZ
678,7,2,NO,2,8,6,YES,2,YES,KEZ
679,7,3,NO,2,6,5,NO,3,YES,ZPE3
680,7,3,NO,2,6,5,NO,3,YES,ZPE3
681,7,3,NO,1,4,5,YES,3,YES,K
682,7,2,NO,2,6,6,YES,2,YES,KEZ
683,7,2,NO,2,5,6,YES,2,YES,KEZ
684,7,2,NO,2,7,6,YES,2,YES,KEZ
685,7,2,NO,2,6,6,YES,2,YES,KEZ
686,7,4,NO,1,5,4,YES,4,YES,K
687,7,4,NO,1,5,4,YES,4,YES,K
688,7,3,NO,1,4,5,YES,3,YES,K
689,7,4,NO,1,5,4,YES,4,YES,K
690,7,2,NO,2,6,5,NO,2,YES,KEZ
691,7,3,NO,2,6,5,YES,3,YES,ZPE3
692,7,3,NO,2,7,5,YES,3,YES,ZPE3
693,7,3,NO,2,7,5,YES,3,YES,ZPE3
694,7,2,NO,2,5,5,NO,2,YES,KEZ
695,7,3,NO,2,7,5,YES,3,YES,ZPE3
696,7,3,NO,1,4,5,YES,3,YES,K
697,7,3,NO,2,6,5,YES,3,YES,ZPE3
698,7,2,NO,2,7,5,NO,2,YES,KEZ
699,7,3,NO,2,4,5,NO,3,YES,ZPE3
700,7,3,NO,2,8,5,YES,3,YES,ZPE3
701,7,3,NO,2,8,5,YES,3,YES,ZPE3
702,7,2,NO,2,6,5,NO,2,YES,KEZ
703,7,3,NO,2,6,5,YES,3,YES,ZPE3
704,7,3,NO,2,5,5,YES,3,YES,ZPE3
705,7,3,NO,2,7,5,YES,3,YES,ZPE3
706,7,2,NO,2,5,5,NO,2,YES,KEZ
707,7,3,NO,2,7,5,YES,3,YES,ZPE3
708,7,3,NO,2,10,5,YES,3,YES,ZPE3
709,7,3,NO,2,7,5,YES,3,YES,ZPE3
710,7,2,NO,2,5,5,NO,2,YES,KEZ
711,7,3,NO,2,6,5,YES,3,YES,ZPE3
712,7,3,NO,2,8,5,YES,3,YES,ZPE3
713,7,3,NO,2,6,5,YES,3,YES,ZPE3
714,7,3,NO,2,6,5,YES,3,YES,ZPE3
715,7,3,NO,2,7,5,YES,3,YES,ZPE3
716,7,3,NO,2,5,5,YES,3,YES,ZPE3
717,7,3,NO,2,7,5,YES,3,YES,ZPE3
718,7,3,NO,2,7,5,YES,3,YES,ZPE3
719,7,3,NO,2,8,5,YES,3,YES,ZPE3
720,7,3,NO,2,8,5,YES,3,YES,ZPE3
721,7,3,NO,2,7,5,YES,3,YES,ZPE3
722,7,3,NO,2,6,5,YES,3,YES,ZPE3
723,7,3,NO,2,10,5,YES,3,YES,ZPE3
724,7,3,NO,1,4,5,YES,3,YES,K
725,7,4,NO,1,5,4,YES,4,YES,K
726,7,4,NO,1,3,4,YES,4,YES,K
727,7,3,NO,2,8,5,NO,3,YES,ZPE3
728,7,3,NO,2,5,5,NO,3,YES,ZPE3
729,7,3,NO,2,6,5,NO,3,YES,ZPE3
730,7,3,NO,2,10,5,NO,3,YES,ZPE3
731,7,5,YES,0,3,*,*,5,YES,D
732,7,4,YES,0,4,*,*,4,YES,D
733,7,4,YES,0,4,*,*,4,YES,D
734,7,5,YES,0,5,*,*,5,YES,D
735,7,5,YES,0,3,*,*,5,YES,D
736,7,4,YES,0,5,*,*,4,YES,D
737,7,4,YES,0,7,*,*,4,YES,D
738,7,4,YES,0,6,*,*,4,YES,D
739,7,5,YES,0,5,*,*,5,YES,D
740,7,3,NO,1,4,5,YES,3,YES,K
741,7,3,NO,1,4,4,NO,3,YES,K
742,7,3,NO,1,4,5,YES,3,YES,K
743,7,3,NO,1,4,5,YES,3,YES,K
744,7,3,NO,1,4,5,YES,3,YES,K
745,7,5,YES,0,2,*,*,5,YES,D
746,7,3,NO,1,4,5,YES,3,YES,K
747,7,3,NO,1,4,5,YES,3,YES,K
748,7,3,NO,1,4,5,YES,3,YES,K
749,7,3,NO,1,4,5,YES,3,YES,K
750,7,3,NO,1,4,5,YES,3,YES,K
751,7,3,NO,1,4,5,YES,3,YES,K
752,7,3,NO,1,6,5,NO,3,YES,K
753,7,3,NO,1,4,4,NO,3,YES,K
754,7,3,NO,1,6,5,YES,3,YES,K
755,7,3,NO,1,4,5,YES,3,YES,K
756,7,3,NO,1,4,5,YES,3,YES,K
757,7,3,NO,1,5,5,YES,3,YES,K
758,7,3,NO,1,6,5,YES,3,YES,K
759,7,3,NO,1,5,5,YES,3,YES,K
760,7,3,NO,1,4,5,YES,3,YES,K
761,7,3,NO,1,4,5,YES,3,YES,K
762,7,3,NO,1,7,5,YES,3,YES,K
763,7,3,NO,1,4,5,YES,3,YES,K
764,7,3,NO,1,5,5,YES,3,YES,K
765,7,3,NO,1,6,5,YES,3,YES,K
766,7,3,NO,1,5,5,NO,3,YES,K
767,7,3,NO,1,7,4,NO,3,YES,K
768,7,3,NO,1,4,5,YES,3,YES,K
769,7,3,NO,1,5,5,YES,3,YES,K
770,7,3,NO,1,5,5,YES,3,YES,K
771,7,3,NO,1,5,5,YES,3,YES,K
772,7,3,NO,1,7,5,YES,3,YES,K
773,7,3,NO,1,4,5,YES,3,YES,K
774,7,3,NO,1,4,5,YES,3,YES,K
775,7,3,NO,1,6,4,NO,3,YES,K
776,7,3,NO,1,6,5,NO,3,YES,K
777,7,3,NO,1,6,5,YES,3,YES,K
778,7,3,NO,1,4,5,YES,3,YES,K
779,7,3,NO,1,6,5,YES,3,YES,K
780,7,3,NO,1,7,5,NO,3,YES,K
781,7,4,NO,1,5,4,YES,4,YES,K
782,7,3,NO,1,6,5,YES,3,YES,K
783,7,3,NO,1,6,5,YES,3,YES,K
784,7,3,NO,1,5,5,YES,3,YES,K
785,7,3,NO,1,5,5,YES,3,YES,K
786,7,3,NO,1,7,5,YES,3,YES,K
787,7,4,NO,1,5,4,YES,4,YES,K
788,7,3,NO,1,7,5,YES,3,YES,K
789,7,3,NO,1,7,5,YES,3,YES,K
790,7,2,NO,2,5,6,YES,2,YES,KEZ
791,7,2,NO,2,5,6,YES,2,YES,KEZ
792,7,2,NO,2,5,6,YES,2,YES,KEZ
793,7,3,NO,2,4,5,NO,3,YES,ZPE3
794,7,2,NO,2,5,6,YES,2,YES,KEZ
795,7,2,NO,2,5,6,YES,2,YES,KEZ
796,7,4,NO,1,3,4,YES,4,YES,K
797,7,2,NO,2,5,5,NO,2,YES,KEZ
798,7,3,NO,2,6,5,YES,3,YES,ZPE3
799,7,3,NO,2,5,5,YES,3,YES,ZPE3
800,7,3,NO,2,6,5,YES,3,YES,ZPE3
801,7,3,NO,2,8,5,YES,3,YES,ZPE3
802,7,3,NO,2,5,5,YES,3,YES,ZPE3
803,7,3,NO,2,6,5,YES,3,YES,ZPE3
804,7,3,NO,2,4,5,NO,3,YES,ZPE3
805,7,3,NO,2,7,5,YES,3,YES,ZPE3
806,7,2,NO,2,5,5,NO,2,YES,KEZ
807,7,3,NO,2,6,5,YES,3,YES,ZPE3
808,7,3,NO,2,5,5,YES,3,YES,ZPE3
809,7,4,NO,1,3,4,YES,4,YES,K
810,7,3,NO,2,6,5,YES,3,YES,ZPE3
811,7,3,NO,2,5,5,YES,3,YES,ZPE3
812,7,3,NO,2,7,5,YES,3,YES,ZPE3
813,7,2,NO,2,5,6,YES,2,YES,KEZ
814,7,4,NO,1,3,4,YES,4,YES,K
815,7,4,NO,1,5,4,NO,4,YES,K
816,7,3,NO,2,7,5,YES,3,YES,ZPE3
817,7,3,NO,2,5,5,YES,3,YES,ZPE3
818,7,3,NO,2,6,5,YES,3,YES,ZPE3
819,7,3,NO,2,6,5,YES,3,YES,ZPE3
820,7,3,NO,2,6,5,YES,3,YES,ZPE3
821,7,2,NO,2,5,5,NO,2,YES,KEZ
822,7,3,NO,2,6,5,YES,3,YES,ZPE3
823,7,3,NO,2,7,5,YES,3,YES,ZPE3
824,7,3,NO,2,6,5,YES,3,YES,ZPE3
825,7,3,NO,2,5,5,YES,3,YES,ZPE3
826,7,3,NO,2,4,5,YES,3,YES,ZPE3
827,7,3,NO,2,6,5,YES,3,YES,ZPE3
828,7,3,NO,2,7,5,YES,3,YES,ZPE3
829,7,4,NO,1,5,4,YES,4,YES,K
830,7,3,NO,2,8,5,YES,3,YES,ZPE3
831,7,3,NO,2,5,5,YES,3,YES,ZPE3
832,7,3,NO,2,6,5,YES,3,YES,ZPE3
833,7,3,NO,2,6,5,YES,3,YES,ZPE3
834,7,3,NO,2,7,5,YES,3,YES,ZPE3
835,7,3,NO,2,6,5,YES,3,YES,ZPE3
836,7,3,NO,2,5,5,YES,3,YES,ZPE3
837,7,3,NO,2,7,5,YES,3,YES,ZPE3
838,7,3,NO,2,5,5,YES,3,YES,ZPE3
839,7,3,NO,2,7,5,YES,3,YES,ZPE3
840,7,2,NO,2,5,5,NO,2,YES,KEZ
841,7,3,NO,2,6,5,YES,3,YES,ZPE3
842,7,3,NO,2,8,5,YES,3,YES,ZPE3
843,7,3,NO,2,5,5,YES,3,YES,ZPE3
844,7,3,NO,2,5,5,YES,3,YES,ZPE3
845,7,3,NO,2,7,5,YES,3,YES,ZPE3
846,7,3,NO,2,7,5,YES,3,YES,ZPE3
847,7,3,NO,2,8,5,YES,3,YES,ZPE3
848,7,3,NO,2,4,5,NO,3,YES,ZPE3
849,7,3,NO,2,7,5,YES,3,YES,ZPE3
850,7,3,NO,2,7,5,YES,3,YES,ZPE3
851,7,4,NO,1,3,4,YES,4,YES,K
852,7,3,NO,2,7,5,YES,3,YES,ZPE3
853,7,3,NO,2,5,5,YES,3,YES,ZPE3
854,7,3,NO,2,6,5,YES,3,YES,ZPE3
855,7,3,NO,2,6,5,YES,3,YES,ZPE3
856,7,4,NO,1,3,4,YES,4,YES,K
857,7,3,NO,2,7,5,YES,3,YES,ZPE3
858,7,3,NO,2,8,5,YES,3,YES,ZPE3
859,7,3,NO,2,6,5,YES,3,YES,ZPE3
860,7,3,NO,2,5,5,YES,3,YES,ZPE3
861,7,3,NO,2,7,5,YES,3,YES,ZPE3
862,7,3,NO,2,7,5,NO,3,YES,ZPE3
863,7,4,NO,2,6,4,YES,4,YES,TS
864,7,3,NO,2,6,5,NO,3,YES,ZPE3
865,7,3,NO,2,8,5,YES,3,YES,ZPE3
866,7,3,NO,2,6,5,YES,3,YES,ZPE3
867,7,3,NO,2,6,5,NO,3,YES,ZPE3
868,7,3,NO,2,5,5,NO,3,YES,ZPE3
869,7,3,NO,2,7,5,YES,3,YES,ZPE3
870,7,3,NO,2,5,5,NO,3,YES,ZPE3
871,7,3,NO,2,4,4,NO,3,YES,ZPE3
872,7,3,NO,2,9,5,NO,3,YES,ZPE3
873,7,4,NO,2,8,4,YES,4,YES,TS
874,7,3,NO,2,11,5,NO,3,YES,ZPE3
875,7,3,NO,3,6,5,NO,3,YES,KEZ
876,7,3,NO,3,9,5,NO,3,YES,KEZ
877,7,3,NO,3,7,5,NO,3,YES,KEZ
878,7,4,NO,2,5,4,YES,4,YES,TS
879,7,5,YES,0,3,*,*,5,YES,D
880,7,4,YES,0,4,*,*,4,YES,D
881,7,4,YES,0,4,*,*,4,YES,D
882,7,5,YES,0,5,*,*,5,YES,D
883,7,5,YES,0,5,*,*,5,YES,D
884,7,4,NO,1,3,4,YES,4,YES,K
885,7,4,NO,1,3,4,YES,4,YES,K
886,7,3,NO,1,4,5,YES,3,YES,K
887,7,3,NO,1,4,4,NO,3,YES,K
888,7,3,NO,1,4,4,NO,3,YES,K
889,7,3,NO,1,4,5,YES,3,YES,K
890,7,3,NO,1,4,5,YES,3,YES,K
891,7,3,NO,1,4,5,YES,3,YES,K
892,7,3,NO,1,4,5,YES,3,YES,K
893,7,4,NO,1,5,4,YES,4,YES,K
894,7,4,NO,1,5,4,YES,4,YES,K
895,7,4,NO,1,3,4,YES,4,YES,K
896,7,4,NO,1,3,4,YES,4,YES,K
897,7,3,NO,1,5,4,NO,3,YES,K
898,7,3,NO,1,7,5,NO,3,YES,K
899,7,3,NO,1,5,5,YES,3,YES,K
900,7,3,NO,1,4,5,YES,3,YES,K
901,7,4,NO,1,3,4,YES,4,YES,K
902,7,3,NO,1,7,5,YES,3,YES,K
903,7,3,NO,1,5,5,YES,3,YES,K
904,7,3,NO,1,5,5,YES,3,YES,K
905,7,3,NO,1,4,5,YES,3,YES,K
906,7,4,NO,1,5,4,YES,4,YES,K
907,7,3,NO,1,6,4,NO,3,YES,K
908,7,3,NO,1,6,5,NO,3,YES,K
909,7,3,NO,1,7,5,YES,3,YES,K
910,7,3,NO,1,6,5,NO,3,YES,K
911,7,4,NO,1,5,4,YES,4,YES,K
912,7,4,NO,1,5,4,YES,4,YES,K
913,7,3,NO,2,4,5,YES,3,YES,ZPE3
914,7,3,NO,2,4,5,YES,3,YES,ZPE3
915,7,3,NO,2,4,4,NO,3,YES,ZPE3
916,7,3,NO,2,4,4,NO,3,YES,ZPE3
917,7,3,NO,2,4,5,YES,3,YES,ZPE3
918,7,3,NO,2,4,5,YES,3,YES,ZPE3
919,7,3,NO,2,4,5,YES,3,YES,ZPE3
920,7,3,NO,2,6,5,YES,3,YES,ZPE3
921,7,3,NO,2,4,5,YES,3,YES,ZPE3
922,7,3,NO,2,6,5,YES,3,YES,ZPE3
923,7,3,NO,2,6,5,YES,3,YES,ZPE3
924,7,3,NO,2,4,5,YES,3,YES,ZPE3
925,7,4,NO,1,3,4,YES,4,YES,K
926,7,3,NO,2,4,5,YES,3,YES,ZPE3
927,7,3,NO,2,5,5,YES,3,YES,ZPE3
928,7,3,NO,2,5,5,YES,3,YES,ZPE3
929,7,3,NO,2,7,5,YES,3,YES,ZPE3
930,7,3,NO,2,5,5,YES,3,YES,ZPE3
931,7,4,NO,2,3,4,NO,4,YES,CCN
932,7,3,NO,2,5,5,YES,3,YES,ZPE3
933,7,3,NO,2,5,5,YES,3,YES,ZPE3
934,7,3,NO,2,8,5,YES,3,YES,ZPE3
935,7,3,NO,2,5,5,YES,3,YES,ZPE3
936,7,3,NO,2,5,5,YES,3,YES,ZPE3
937,7,3,NO,2,5,5,YES,3,YES,ZPE3
938,7,3,NO,2,6,5,YES,3,YES,ZPE3
939,7,3,NO,2,7,5,YES,3,YES,ZPE3
940,7,3,NO,2,4,5,YES,3,YES,ZPE3
941,7,3,NO,2,5,5,YES,3,YES,ZPE3
942,7,3,NO,2,5,5,YES,3,YES,ZPE3
943,7,3,NO,2,5,5,YES,3,YES,ZPE3
944,7,3,NO,2,6,5,YES,3,YES,ZPE3
945,7,4,NO,1,3,4,YES,4,YES,K
946,7,3,NO,2,4,5,NO,3,YES,ZPE3
947,7,4,NO,2,6,4,YES,4,YES,TS
948,7,4,NO,2,8,4,YES,4,YES,TS
949,7,4,NO,2,5,4,YES,4,YES,TS
950,7,3,NO,2,4,5,YES,3,YES,ZPE3
951,7,3,NO,2,6,5,YES,3,YES,ZPE3
952,7,3,NO,2,6,5,YES,3,YES,ZPE3
953,7,4,NO,2,5,4,YES,4,YES,TS
954,7,3,NO,2,6,5,NO,3,YES,ZPE3
955,7,3,NO,2,6,5,NO,3,YES,ZPE3
956,7,4,NO,2,5,4,YES,4,YES,TS
957,7,3,NO,2,7,5,NO,3,YES,ZPE3
958,7,4,NO,2,6,4,YES,4,YES,TS
959,7,3,NO,2,5,5,YES,3,YES,ZPE3
960,7,3,NO,2,7,5,YES,3,YES,ZPE3
961,7,3,NO,2,6,5,YES,3,YES,ZPE3
962,7,3,NO,2,6,5,YES,3,YES,ZPE3
963,7,3,NO,2,5,5,YES,3,YES,ZPE3
964,7,3,NO,2,6,5,YES,3,YES,ZPE3
965,7,3,NO,2,5,5,YES,3,YES,ZPE3
966,7,3,NO,2,7,5,YES,3,YES,ZPE3
967,7,3,NO,2,4,5,YES,3,YES,ZPE3
968,7,3,NO,2,5,5,YES,3,YES,ZPE3
969,7,3,NO,2,6,5,YES,3,YES,ZPE3
